target_D,horizon,method,method_index,round,mean,ci_low,ci_high,aggregate_sha256
2,1000,transport_hessian,0,1,0.20563860590878671,0.17032620160315537,0.24177502205275281,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,10,1.7874348415025889,1.7089268556537265,1.8669265386938976,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,20,3.5878037886848908,3.4845486648240231,3.6928906841061657,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,30,5.3798342534764867,5.2708361151781942,5.4839741157466939,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,40,6.9239184513896168,6.7849090077844902,7.0608687873291638,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,50,8.4082948107162103,8.2805639484059306,8.5292776110159547,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,60,9.7983149551386717,9.6371965917837166,9.9591197703516432,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,70,11.13084088638783,10.950104631276075,11.309992108409881,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,80,12.399268112760602,12.215166443929398,12.582649248378063,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,90,13.713307237015719,13.505536798242261,13.915060422195747,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,100,14.988847159999972,14.766398986848483,15.201609646574523,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,110,16.269417466888804,16.054112943160298,16.481722661566028,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,120,17.44616159136228,17.208560819347646,17.672900130838812,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,130,18.662277705427115,18.411495185108539,18.910063296352181,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,140,19.801767944597227,19.530151657617576,20.070311072024449,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,150,20.996879327960819,20.701495920354169,21.298821341107484,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,160,22.157335377517846,21.83288121696112,22.482637483823396,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,170,23.337722864077332,22.979122575935275,23.698190762753761,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,180,24.35908333231253,23.988075753057654,24.726134662356337,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,190,25.435777012645449,25.04039650943016,25.821296822220496,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,200,26.581524910353419,26.169069972858967,26.982161659249662,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,210,27.611033077118009,27.155714628788473,28.054337108382356,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,220,28.667667551090446,28.195113698888584,29.125363215094993,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,230,29.777936264111286,29.288866693598919,30.242974916153141,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,240,30.842537088092662,30.346455983363281,31.322939475804734,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,250,31.862940019257103,31.349105775897524,32.357977783509128,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,260,32.879449408932508,32.356854089077558,33.378957629761807,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,270,33.992257025687984,33.43798822213401,34.5300533805434,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,280,35.045982385841022,34.463758476480017,35.619096163641032,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,290,36.069193483786506,35.480308916242713,36.645759942298284,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,300,37.035330031957983,36.428000118948681,37.629253929739676,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,310,37.971680651281716,37.341259062992592,38.591552333926458,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,320,38.968619752789621,38.33618531322751,39.599424471738558,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,330,39.974064912343472,39.318275965495957,40.617629343856883,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,340,40.99235488167681,40.327527999011089,41.647429716164503,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,350,41.915637637953751,41.240215077755067,42.59459939220028,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,360,42.794719249042352,42.078499379462052,43.504981324251872,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,370,43.715805853644099,42.999099129335271,44.427966340336916,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,380,44.590815643243083,43.847952019452414,45.33093831612841,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,390,45.486044976090994,44.730256776432306,46.234298254011549,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,400,46.364705945875791,45.593786929147377,47.11292312859193,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,410,47.332748945123996,46.540976339500347,48.114399991912208,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,420,48.257792111541605,47.447288457533695,49.06175650420974,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,430,49.109483468157094,48.292242591066149,49.91679225682843,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,440,50.015087403826925,49.170414195052381,50.84262157435839,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,450,50.90669860649438,50.064872185057432,51.732276413295814,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,460,51.756353791468392,50.921744193880009,52.589121422426949,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,470,52.634342486131033,51.778736761831524,53.496914551919772,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,480,53.515167612004618,52.645179625540592,54.39612489870143,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,490,54.449875444912635,53.545958771192481,55.369438605610299,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,500,55.323690294686067,54.409902009410004,56.243828095028803,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,510,56.169975996380487,55.250784948868329,57.09155503333136,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,520,57.126131407280027,56.189804852473976,58.067234427056,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,530,57.970129888722269,57.006700412685611,58.939030653540598,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,540,58.843737949457335,57.85846668272881,59.828905998391917,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,550,59.675403992562316,58.685806542040176,60.663053425712008,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,560,60.467978538205841,59.483696812531541,61.453746895751657,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,570,61.262439790853215,60.292609041981073,62.247013255653719,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,580,62.114846863298638,61.165411673095598,63.090878485430665,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,590,62.907025817822394,61.945508948034679,63.887242243419173,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,600,63.691927880928631,62.716035279988603,64.682762132707524,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,610,64.525612804828867,63.523062190016311,65.542277933742895,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,620,65.306141227658472,64.295604771281504,66.333975200752718,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,630,66.155461378847804,65.155301614080699,67.165699783186966,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
2,1000,transport_hessian,0,640,67.010024496534811,65.992218271533588,68.034723501358911,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
