experiment,profile,seed_set,comparison,method,reference_method,difference_direction,variant_json,hyperparameters_json,run_count,scope,horizon,metric,n,mean,standard_deviation,standard_error,ci95_low,ci95_high,ci95_half_width
systems_scaling,full,evaluation,benchmark_diagnostic,batched_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,batch_operator_call_count,5,7.0,0.0,0.0,7.0,7.0,0.0
systems_scaling,full,evaluation,benchmark_diagnostic,batched_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,cg_iterations,5,20.0,0.0,0.0,20.0,20.0,0.0
systems_scaling,full,evaluation,benchmark_diagnostic,batched_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,curvature_vector_products,5,896.0,0.0,0.0,896.0,896.0,0.0
systems_scaling,full,evaluation,benchmark_diagnostic,batched_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,equivalent_sample_cvp_count,5,896.0,0.0,0.0,896.0,896.0,0.0
systems_scaling,full,evaluation,benchmark_diagnostic,batched_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,estimated_total_host_memory_bytes,5,240896.0,0.0,0.0,240896.0,240896.0,0.0
systems_scaling,full,evaluation,benchmark_diagnostic,batched_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,estimated_working_memory_bytes,5,82944.0,0.0,0.0,82944.0,82944.0,0.0
systems_scaling,full,evaluation,benchmark_diagnostic,batched_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,max_explicit_relative_residual,5,2.364562827207466e-11,6.917433657106915e-12,3.0935703774272063e-12,1.5056499940082003e-11,3.223475660406732e-11,8.589128331992658e-12
systems_scaling,full,evaluation,benchmark_diagnostic,batched_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,max_relative_energy_error,5,2.3282171461920158e-11,6.813874632999744e-12,3.0472573739097717e-12,1.482162864185049e-11,3.174271428198983e-11,8.460542820069667e-12
systems_scaling,full,evaluation,benchmark_diagnostic,batched_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,mean_explicit_relative_residual,5,2.0306766454596883e-11,5.8275222667481475e-12,2.606147185768504e-12,1.3070941857244915e-11,2.754259105194885e-11,7.235824597351967e-12
systems_scaling,full,evaluation,benchmark_diagnostic,batched_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,mean_relative_energy_error,5,1.9991167933361628e-11,5.731721184635774e-12,2.5633036393842426e-12,1.2874296090657559e-11,2.7108039776065697e-11,7.11687184270407e-12
systems_scaling,full,evaluation,benchmark_diagnostic,batched_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,peak_accelerator_memory_bytes,5,0.0,0.0,0.0,0.0,0.0,0.0
systems_scaling,full,evaluation,benchmark_diagnostic,batched_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,peak_host_memory_bytes,5,74488217.6,9117932.26216804,4077663.2704892345,63166809.37200533,85809625.82799466,11321408.227994662
systems_scaling,full,evaluation,benchmark_diagnostic,batched_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,predictive_width_relative_error,5,5.339307485667772e-16,1.8286555371729024e-16,8.177996177100007e-17,3.068731740044214e-16,7.60988323129133e-16,2.270575745623558e-16
systems_scaling,full,evaluation,benchmark_diagnostic,batched_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,sample_cvp_count,5,896.0,0.0,0.0,896.0,896.0,0.0
systems_scaling,full,evaluation,benchmark_diagnostic,batched_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,wall_time_min_seconds,5,0.00031845001503825186,2.7642455834079366e-06,1.2362082062007422e-06,0.0003150177508151405,0.0003218822792613632,3.432264223111395e-06
systems_scaling,full,evaluation,benchmark_diagnostic,batched_cg,,diagnostic_not_executed_policy,"{""action_count"":4,""dimension"":512,""iteration_budget"":16,""sample_count"":32}",{},5,benchmark_summary,,wall_time_seconds,5,0.0003224417916499078,1.968608757597722e-06,8.803886006179823e-07,0.00031999744102905006,0.00032488614227076557,2.444350620857732e-06
