task,method,seed,prefix,D_Q_minus_d_Th,D_Q_over_d_Th,D_Q_over_d_Th_zero_denominators
covtype_label_bandit,frozen_reference_corrected_cholesky,0,32,0.004818896499438671,20090.81871784787,1
covtype_label_bandit,greedy_corrected,0,32,0.005938483490386188,12622.48131046838,1
covtype_label_bandit,naive_current_corrected_cholesky,0,32,0.004763656150409572,16776.77617880058,1
covtype_label_bandit,transport_endpoint_corrected_cholesky,0,32,0.0036976530007905403,29559.178978483786,1
covtype_label_bandit,transport_exact_corrected_cg_1e-4,0,32,0.005249538116939091,23049.911890100582,1
covtype_label_bandit,transport_exact_corrected_cholesky,0,32,0.004763656150409572,16776.77617880058,1
covtype_label_bandit,transport_exact_uncorrected_tangent_cholesky,0,32,0.004763656150409572,16776.77617880058,1
covtype_label_bandit,transport_nystrom_r16_cg_1e-2,0,32,0.004618249468645427,23628.300359565757,1
covtype_label_bandit,transport_nystrom_r16_cg_1e-6,0,32,0.003952022172734733,18808.291169503875,1
covtype_label_bandit,transport_nystrom_r32_cg_1e-4,0,32,0.0042987668529598415,17204.01595574439,1
covtype_label_bandit,transport_nystrom_r64_cg_1e-2,0,32,0.004493194237065469,22116.7119799697,1
covtype_label_bandit,transport_nystrom_r64_cg_1e-6,0,32,0.005159423456926934,22726.34979642041,1
covtype_semisynthetic_misspecified,frozen_reference_corrected_cholesky,0,32,0.007838308739491501,48191.944613978834,1
covtype_semisynthetic_misspecified,greedy_corrected,0,32,0.007101553414936708,50512.13798716281,1
covtype_semisynthetic_misspecified,naive_current_corrected_cholesky,0,32,0.007403499358188323,60231.02861144034,1
covtype_semisynthetic_misspecified,transport_endpoint_corrected_cholesky,0,32,0.007121670130425684,74922.64446830313,1
covtype_semisynthetic_misspecified,transport_exact_corrected_cg_1e-4,0,32,0.010709103283871561,35213.622266242244,1
covtype_semisynthetic_misspecified,transport_exact_corrected_cholesky,0,32,0.00927283419731738,68516.5868296998,1
covtype_semisynthetic_misspecified,transport_exact_uncorrected_tangent_cholesky,0,32,0.00927283419731738,68516.5868296998,1
covtype_semisynthetic_misspecified,transport_nystrom_r16_cg_1e-2,0,32,0.00991075788198538,61503.74549224266,1
covtype_semisynthetic_misspecified,transport_nystrom_r16_cg_1e-6,0,32,0.010322224000407328,48270.57235438861,1
covtype_semisynthetic_misspecified,transport_nystrom_r32_cg_1e-4,0,32,0.008758196542963212,38389.68183011271,1
covtype_semisynthetic_misspecified,transport_nystrom_r64_cg_1e-2,0,32,0.010241024763987692,47719.56864913469,1
covtype_semisynthetic_misspecified,transport_nystrom_r64_cg_1e-6,0,32,0.00953253907373621,50190.80464907371,1
covtype_semisynthetic_realizable,frozen_reference_corrected_cholesky,0,32,0.0075195072044229845,67301.3392752106,1
covtype_semisynthetic_realizable,greedy_corrected,0,32,0.005903524936054665,52394.61885748032,1
covtype_semisynthetic_realizable,naive_current_corrected_cholesky,0,32,0.007834033002334416,51186.34477497217,1
covtype_semisynthetic_realizable,transport_endpoint_corrected_cholesky,0,32,0.005955263320055552,67932.8840335494,1
covtype_semisynthetic_realizable,transport_exact_corrected_cg_1e-4,0,32,0.007847961712866528,52305.93833357143,1
covtype_semisynthetic_realizable,transport_exact_corrected_cholesky,0,32,0.007699613253860271,39973.763016597724,1
covtype_semisynthetic_realizable,transport_exact_uncorrected_tangent_cholesky,0,32,0.007758716308031178,42009.55424825405,1
covtype_semisynthetic_realizable,transport_nystrom_r16_cg_1e-2,0,32,0.0074245517966573076,74507.85119334272,1
covtype_semisynthetic_realizable,transport_nystrom_r16_cg_1e-6,0,32,0.007807003649115217,76132.95580694568,1
covtype_semisynthetic_realizable,transport_nystrom_r32_cg_1e-4,0,32,0.009528249278379562,47151.744716853704,1
covtype_semisynthetic_realizable,transport_nystrom_r64_cg_1e-2,0,32,0.006110081741355076,52744.68905104782,1
covtype_semisynthetic_realizable,transport_nystrom_r64_cg_1e-6,0,32,0.00753088258490424,48019.0891257628,1
